DEPTH,A,B
3377.3364,77.19183,71.57893
3377.4888,54.51022,69.86604
3377.6412,41.17237,69.9249
3377.7936,26.69748,68.43885
3377.946,30.82308,69.45423
3378.0984,35.30094,69.2412
3378.2508,29.01304,69.03031
3378.4032,20.05389,69.48327
3378.5556,10.23671,69.66039
3378.708,9.37683,69.80746
3378.8604,10.37997,69.53256
3379.0128,14.49397,69.97891
3379.1652,11.8919,69.88695
3379.3176,9.77754,69.98589
3379.47,9.85863,69.45039
3379.6224,9.82758,70.33467
3379.7748,9.86915,71.98154
3379.9272,11.55685,72.01589
3380.0796,13.6199,73.14286
3380.232,12.54508,73.34814
3380.3844,8.97974,74.51101
3380.5368,7.70945,77.75225
3380.6892,7.97848,78.48829
3380.8416,8.58192,78.54224
3380.994,8.39811,78.09625
3381.1464,8.46824,78.76172
3381.2988,9.89969,78.14002
3381.4512,11.2097,77.87951
3381.6036,11.65387,78.1125
3381.756,11.72047,79.88336
3381.9084,12.89431,77.98491
3382.0608,15.01795,77.42731
3382.2132,12.12152,76.58524
3382.3656,8.91525,76.22972
3382.518,7.78724,77.12607
3382.6704,7.73503,75.41761
3382.8228,8.17814,74.30808
3382.9752,8.40204,74.62924
3383.1276,8.42491,75.03518
3383.28,7.92546,74.47261
3383.4324,7.52013,75.63185
3383.5848,7.12968,76.00956
3383.7372,7.69717,79.29972
3383.8896,5.75955,82.74275
3384.042,6.03282,83.90102
3384.1944,6.68183,83.86115
3384.3468,7.55767,81.79887
3384.4992,9.45316,82.145
3384.6516,9.16109,81.53641
3384.804,7.30197,80.28621
3384.9564,6.81111,79.12163
3385.1088,6.91565,78.71826
3385.2612,6.63458,78.0082
3385.4136,6.34925,76.79092
3385.566,6.43944,77.56249
3385.7184,6.5743,78.45442
3385.8708,6.61216,79.1626
3386.0232,6.19853,79.29793
3386.1756,6.27973,81.24578
3386.328,5.58903,83.59972
3386.4804,4.75811,84.87418
3386.6328,5.03334,83.16102
3386.7852,5.44769,82.2761
3386.9376,5.89595,80.43821
3387.09,6.12058,80.78075
3387.2424,6.11198,80.01436
3387.3948,5.81475,78.8877
3387.5472,5.71718,73.70613
3387.6996,10.32374,70.36076
3387.852,12.64775,70.73262
3388.0044,7.93752,71.57106
3388.1568,4.98892,75.69434
3388.3092,5.60524,79.81761
3388.4616,5.48682,83.94088
3388.614,5.46959,88.06416
3388.7664,4.85266,92.18743
3388.9188,4.19462,92.31228
3389.0712,3.71243,93.74045
3389.2236,4.25528,77.1041
3389.376,6.45186,77.19923
3389.5284,6.12963,77.78173
3389.6808,5.82095,78.86182
3389.8332,6.17033,77.79944
3389.9856,7.37881,76.81655
3390.138,8.50524,76.27967
3390.2904,13.79736,76.94871
3390.4428,13.31419,76.11225
3390.5952,11.74069,76.10341
3390.7476,9.62126,75.98441
3390.9,10.57016,76.37218
3391.0524,12.19354,76.40827
3391.2048,19.94016,75.94391
